解答文,正答文,111のみ正解とする,010のみ正解とする,0のみ不正解とする,011のみ正解とする,110のみ正解とする
"How much you exercise, it doesn't work unless you calculate calories you take.","However much exercise you get, you won't lose weight unless you count your calories.",0,1,1,1,0
"No matter how much you do exercise, you can't lose weight unless you calculate calories.","However much exercise you get, you won't lose weight unless you count your calories.",1,1,1,1,1
"To exersise,you cannot decline weight ,so you calculate caloly.","However much exercise you get, you won't lose weight unless you count your calories.",0,0,0,0,0
"Some people in japanese tourist go out with a lot of money in their pocket of pants .","Some Japanese tourists lack common sense and carry a lot of cash in their backpockets.",0,0,0,0,0
"There are Japanese tourists don't have common sense putting their wallets with bunch of money in their backpocket of  their trousers.","Some Japanese tourists lack common sense and carry a lot of cash in their backpockets.",0,1,1,1,0
"Some Japanese tourists have much cash in the back pockets of their trousers carelessly.","Some Japanese tourists lack common sense and carry a lot of cash in their backpockets.",0,0,0,0,0
"It is out of common sense that someone in Japanese visitors bring much money in the behind poket of their slacs.","Some Japanese tourists lack common sense and carry a lot of cash in their backpockets.",0,0,0,0,0
"Japanese tourists are walk to having a lot of money in their pocket.","Some Japanese tourists lack common sense and carry a lot of cash in their backpockets.",0,0,0,0,0
"It is keeping health that having good meals and taking exasise useally.","In order to stay healthy, you should have a balanced diet and get regular exercise.",0,0,0,0,0
"The secrets to keep health is eating good balanced food and exercising periodically.","In order to stay healthy, you should have a balanced diet and get regular exercise.",0,1,1,1,0
"The key point to stay healty is to eat a balanced meal and exercise regularly.","In order to stay healthy, you should have a balanced diet and get regular exercise.",0,1,1,1,0
"The secret to keeping healthy, to eat balanced diet and to exercise regularly.","In order to stay healthy, you should have a balanced diet and get regular exercise.",0,1,1,1,0
"The key to keeping healthy is to eat a balanced meal and exercise regularly.","In order to stay healthy, you should have a balanced diet and get regular exercise.",1,1,1,1,1
"I was surpraise that japan`s city has many neon even gone to abroad.","It is not until you go abroad that you realize how many neon lighs there are in big Ja"panese cities.,0,0,0,0,0
"It's only when you go abroad that you realize the big cities of Japan have many illumination.","It is not until you go abroad that you realize how many neon lighs there are in big Ja"panese cities.,0,0,0,0,0
"We hardly notice that there are many neon signs in Japanese large city areas before going to foreign countries.","It is not until you go abroad that you realize how many neon lighs there are in big Ja"panese cities.,1,1,1,1,1
"For the first time when I go abroad, I notice that the big cities of Japan have many neon lights.","It is not until you go abroad that you realize how many neon lighs there are in big Ja"panese cities.,1,1,1,1,1
"To first go abroad, it notice a lot of neon primary city of japan.","It is not until you go abroad that you realize how many neon lighs there are in big Ja"panese cities.,0,1,1,1,0
"I am worrid that could be speccilly even japanese people could speak English.","It is a pity that many Japanese people mistakenly believe that they have only to speak" English to be internationally-minded.,0,0,0,0,0
"It's a pity that many Japanese misunderstand that they can become international as long as they can speak English.","It is a pity that many Japanese people mistakenly believe that they have only to speak" English to be internationally-minded.,1,1,1,1,1
"It is too bad that many Japanese people think that if they can speak English, they can become an international person.","It is a pity that many Japanese people mistakenly believe that they have only to speak" English to be internationally-minded.,0,1,1,1,0
"Many Japanese people misunderstand that if only they speak English, they can be seen as international figure.","It is a pity that many Japanese people mistakenly believe that they have only to speak" English to be internationally-minded.,1,1,1,1,1
"There are many Japanese people who misunderstand that they become international people, only if they are able to speak English.","It is a pity that many Japanese people mistakenly believe that they have only to speak" English to be internationally-minded.,1,1,1,1,1
"It say that no relligion for seven of ten for young people.","It is said that seven out of ten young Japanse people don't believe in religion.",0,1,1,0,0
"It is said that 7 our of 10 young people from Japan don't have religion.","It is said that seven out of ten young Japanse people don't believe in religion.",0,1,1,0,0
"It is said that 7 young people in 10 totally don't have religious beliefs.","It is said that seven out of ten young Japanse people don't believe in religion.",1,1,1,1,1
"It is said that seven in ten Japanese young people is non-religious.","It is said that seven out of ten young Japanse people don't believe in religion.",0,1,1,1,0
"it is said that 70 persents of younger Japanese are no.","It is said that seven out of ten young Japanse people don't believe in religion.",0,0,0,0,0
